epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
78,1263.38,0.01692,0.99399,1,0.01425,0.0002377,0.0002377,0.0002377
79,1279.86,0.01034,0.997,1,0.01224,0.0002278,0.0002278,0.0002278
80,1296.54,0.00454,0.997,1,0.01046,0.0002179,0.0002179,0.0002179
81,1312.37,0.00246,0.99099,1,0.01774,0.000208,0.000208,0.000208
82,1328.29,0.00784,0.99399,1,0.01124,0.0001981,0.0001981,0.0001981
83,1344.2,0.00248,0.997,1,0.00901,0.0001882,0.0001882,0.0001882
84,1361.01,0.00263,0.99399,1,0.01461,0.0001783,0.0001783,0.0001783
85,1377.11,0.00555,0.99099,1,0.01769,0.0001684,0.0001684,0.0001684
86,1393.06,0.00369,0.98799,1,0.02528,0.0001585,0.0001585,0.0001585
87,1409.21,0.00242,0.98799,1,0.02575,0.0001486,0.0001486,0.0001486
88,1425.1,0.00407,0.98799,1,0.02371,0.0001387,0.0001387,0.0001387
89,1441.89,0.00626,0.98799,1,0.03196,0.0001288,0.0001288,0.0001288
90,1457.82,0.00344,0.99399,1,0.0112,0.0001189,0.0001189,0.0001189
91,1475.06,0.00674,0.99099,1,0.02658,0.000109,0.000109,0.000109
92,1490.74,0.00524,0.99099,1,0.02087,9.91e-05,9.91e-05,9.91e-05
93,1507.23,0.0061,0.99099,1,0.01966,8.92e-05,8.92e-05,8.92e-05
94,1523.93,0.0056,0.99399,1,0.011,7.93e-05,7.93e-05,7.93e-05
95,1539.96,0.00233,0.99399,1,0.0121,6.94e-05,6.94e-05,6.94e-05
96,1555.86,0.00197,0.99099,1,0.01276,5.95e-05,5.95e-05,5.95e-05
97,1571.99,0.00164,0.99099,1,0.01093,4.96e-05,4.96e-05,4.96e-05
98,1588.52,0.00354,0.99399,1,0.0113,3.97e-05,3.97e-05,3.97e-05
99,1605.4,0.00513,0.997,1,0.00782,2.98e-05,2.98e-05,2.98e-05
100,1621.78,0.00668,0.99399,1,0.00837,1.99e-05,1.99e-05,1.99e-05
